Year,Month,d_past,d_pattopast,DewPoint
2009,7,20.28,21.41,20.94
2009,8,20.73,21.01,20.78
2009,9,20.5,21.13,20.93
2009,10,17.44,16.91,18.12
2009,11,14.73,12.86,16.3
2009,12,11.06,10.78,13.13
2010,1,7.19,4.07,10.81
2010,2,3.91,4.12,8.71
2010,3,6.09,8.98,7.79
2010,4,8.79,10.48,10.1
2010,5,14.77,14.82,15.68
2010,6,20.01,20.38,21.02
2010,7,20.94,20.28,21.15
2010,8,20.78,20.73,21.3
2010,9,20.93,20.5,21.07
2010,10,18.12,17.44,19.53
2010,11,16.3,14.73,19.34
2010,12,13.13,11.06,11.96
2011,1,10.81,7.19,7.44
2011,2,8.71,3.91,7.06
2011,3,7.79,6.09,4.64
2011,4,10.1,8.79,11.75
2011,5,15.68,14.77,15.35
2011,6,21.02,20.01,20.64
2011,7,21.15,20.94,20.66
2011,8,21.3,20.78,20.83
2011,9,21.07,20.93,20.26
2011,10,19.53,18.12,19.18
2011,11,19.34,16.3,13.57
2011,12,11.96,13.13,7.62
2012,1,7.44,10.81,5.44
2012,2,7.06,8.71,2.63
2012,3,4.64,7.79,0.08
2012,4,11.75,10.1,10.73
2012,5,15.35,15.68,14.28
2012,6,20.64,21.02,18.93
2012,7,20.66,21.15,20.64
2012,8,20.83,21.3,20.51
2012,9,20.26,21.07,20.16
2012,10,19.18,19.53,17.83
2012,11,13.57,19.34,14.33
2012,12,7.62,11.96,9.01
2013,1,5.44,7.44,6.38
2013,2,2.63,7.06,7.63
2013,3,0.08,4.64,6.2
2013,4,10.73,11.75,10.59
2013,5,14.28,15.35,15.8
2013,6,18.93,20.64,21.05
2013,7,20.64,20.66,21.04
2013,8,20.51,20.83,20.46
2013,9,20.16,20.26,20.65
2013,10,17.83,19.18,19.54
2013,11,14.33,13.57,14.99
2013,12,9.01,7.62,8.95
2014,1,6.38,5.44,9.61
2014,2,7.63,2.63,7.94
2014,3,6.2,0.08,10.99
2014,4,10.59,10.73,10.69
2014,5,15.8,14.28,15.22
2014,6,21.05,18.93,19.2
2014,7,21.04,20.64,20.63
2014,8,20.46,20.51,20.91
2014,9,20.65,20.16,20.14
2014,10,19.54,17.83,17.62
2014,11,14.99,14.33,14.07
2014,12,8.95,9.01,10.17
2015,1,9.61,6.38,7
2015,2,7.94,7.63,4.41
2015,3,10.99,6.2,11.42
2015,4,10.69,10.59,11.47
2015,5,15.22,15.8,16.52
2015,6,19.2,21.05,19.9
2015,7,20.63,21.04,20.36
2015,8,20.91,20.46,20.04
2015,9,20.14,20.65,19.98
2015,10,17.62,19.54,18.36
2015,11,14.07,14.99,14.05
2015,12,10.17,8.95,8.34
2016,1,7,9.61,3.51
2016,2,4.41,7.94,7.36
2016,3,11.42,10.99,8.57
2016,4,11.47,10.69,10.63
2016,5,16.52,15.22,15.92
2016,6,19.9,19.2,20.53
2016,7,20.36,20.63,21.29
2016,8,20.04,20.91,20.88
2016,9,19.98,20.14,20.23
2016,10,18.36,17.62,17.11
2016,11,14.05,14.07,10.54
2016,12,8.34,10.17,7.47
2017,1,3.51,7,4.88
2017,2,7.36,4.41,2.7
2017,3,8.57,11.42,5.43
2017,4,10.63,11.47,6.82
2017,5,15.92,16.52,15.2
2017,6,20.53,19.9,20.86
2017,7,21.29,20.36,20.93
2017,8,20.88,20.04,20.52
2017,9,20.23,19.98,21.4
2017,10,17.11,18.36,19.17
2017,11,10.54,14.05,14.28
2017,12,7.47,8.34,11.06
2018,1,4.88,3.51,6.7
2018,2,2.7,7.36,4.88
2018,3,5.43,8.57,7.19
2018,4,6.82,10.63,9.58
2018,5,15.2,15.92,15.18
2018,6,20.86,20.53,21.26
2018,7,20.93,21.29,20.85
2018,8,20.52,20.88,20.42
2018,9,21.4,20.23,19.54
2018,10,19.17,17.11,15.71
2018,11,14.28,10.54,11.47
2018,12,11.06,7.47,6.99
2019,1,6.7,4.88,4.88
2019,2,4.88,2.7,2.7
2019,3,7.19,5.43,5.43
2019,4,9.58,6.82,6.82
2019,5,15.18,15.2,15.2
2019,6,21.26,20.86,20.86
2019,7,20.85,20.93,20.93
2019,8,20.42,20.52,20.52
2019,9,19.54,21.4,21.4
2019,10,15.71,19.17,19.17
2019,11,11.47,14.28,14.28
2019,12,6.99,11.06,11.06
